,employer,link,location,position_title,salary
115,Exiger,http://ca.indeed.com/rc/clk?jk=d4c48bdb09093b02&fccid=b7a753ea1f841879&vjs=3,"Toronto, ON",Junior NLP Data Researcher,
116,Prodigy Game,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CyK--AGwHVJM38gjCgoUUzKbXZ0LaePQ99gWayKepyPDPmtEaB6J0Z0EoXtwsbwHa00tFKn9bbLie_n2YMrCV_sV-58mBijswoAh8DIiwQ-FPsHYc7Tv-EY6Mt-T9Pkj-tOEgtpCXmbc31QxaarWaDx6HZcw9SHc-c_IznENs9GeQzc75VlgvnKdVH0m8X0WOcfM-vwMvnT2b5vExeUl4LcGVJlxVX8ZfSHFL6ifdZM2dyuK6MfPfKgZhhyOFDjRbkMOYpARxSA1hlzFzpUWhFm-JiupJVvxl03t9TYMXOdjLKQQpYCDADL307QKaLFrI1rtAQVZWDgYO80GUqKcCC4Ytn5gUlzgelngqlAxFtyD0bYLPtxzf0JixcJJ6os0mujr25pxYfWGA3FK_UVB7F1_golu1TwQTDM-bb6lCHz9ks83O9aGBW6qHLxhGwudoHG_c2OB9ytGMYT7dKdZaudNhgd52fiGd-ZJD8LwIuLwPv9GYKnaSPRVESx_lnS54XVPVPTdG8vg4Q9Gemqa7J6EChDd3QQjaGG1STlbGPxFmc8ZWrn15R&p=11&fvj=0&vjs=3,,"Data Scientist, Game",
117,Teck Resources Limited,http://ca.indeed.com/rc/clk?jk=aa5645ca61c4b611&fccid=33dfaa8965cf2bf4&vjs=3,"Vancouver, BC",Senior Data Scientist - RACE21,
118,Scotiabank,http://ca.indeed.com/rc/clk?jk=55ae24b9996a3c10&fccid=3002307a9e5b4706&vjs=3,"Toronto, ON",VELOCITY- Data Analytics Engineer,
119,Arrow Designs,http://ca.indeed.com/rc/clk?jk=4129374f9a925c25&fccid=6ea67f85b28fc3ff&vjs=3,"Vancouver, BC",Data Scientist,
120,Intact,http://ca.indeed.com/rc/clk?jk=44ba72036c5ce11a&fccid=be7195d2ebb48351&vjs=3,"Quebec City, QC","Senior Data Scientist (Quebec City), Intact Lab",
121,Sunnyfuture Group,http://ca.indeed.com/company/SunnyFuture-Career-Ltd./jobs/Data-Analyst-Financial-Analyst-baeb2b2fcbfaff3d?fccid=d1afcae81392e688&vjs=3,"Toronto, ON",Data Analyst/Financial Analyst,"$60,000 a year"
122,Canadian Security Intelligence Service,http://ca.indeed.com/rc/clk?jk=dc519d8dc229ae16&fccid=19150974fd7b2a28&vjs=3,"Ottawa, ON",Data Scientist,"$89,400 - $108,820 a year"
123,Scotiabank,http://ca.indeed.com/rc/clk?jk=548009948c16f464&fccid=3002307a9e5b4706&vjs=3,"Toronto, ON",Learn more about our Digital Analytics team!,
124,Takeda Pharmaceuticals,http://ca.indeed.com/rc/clk?jk=d52abb8b3f43206a&fccid=4819693c833d5b6e&vjs=3,"Toronto, ON","Senior Analyst, Business Intelligence",
125,SOFTGAMES,http://ca.indeed.com/rc/clk?jk=d648d642b74b9b32&fccid=f5630d25add4525e&vjs=3,Remote,Game Data Analyst,
126,,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFhwj1mM9GcVBcW_pfSTYyg19f_-gBL6nNHx8JBphWau-vu2y-7ByCQizVBLSzosWw4eo3x6zlcdTr3jNee7kk9KJHq-S_krVf962kchTO8VKPDA8qeLjCkmKQnbI8hHpWAleXvhei9W7QFUp-VhXcje2dsH6NTST8C8DfjpCMy8tzBUW5mj6dFAOcIhXpqP9rLO8KMe_j9sFBGmfOuGmYLvqMpvmQ6GosGGiU3VJ4DXWktaXD3_Hu4PXSN4gTQ5TkxC2DANs0pgI1mWvk0FRL7BUn89qBjvYPY4S_u6BRpdTNAa5FVP-p-O-OjG1ltj7VorGuHtvMRfhB8VAZndrmPIAGJZE43DmmUliQdXnP6Rldms9TD-2vUD7bPf3-TXzXoc5lu9FaboMEcJOMMxUe3Sv7JfycAKs1o3T3NMjUk-GjqzmrBVKS&p=9&fvj=0&vjs=3,,Cloud Data Analytics Engineer,
127,Teck Resources Limited,http://ca.indeed.com/rc/clk?jk=f63bb7155c426fdb&fccid=33dfaa8965cf2bf4&vjs=3,"Vancouver, BC",Data Scientist - RACE21,
128,Hopper,http://ca.indeed.com/rc/clk?jk=b789e2236527f578&fccid=71eb96af97fae7e9&vjs=3,"Toronto, ON",Data Scientist - Lodging Team,
129,Industry Training Authority,http://ca.indeed.com/company/Industry-Training-Authority-(ITA)/jobs/Research-Data-Analyst-5f1828922b2d9303?fccid=1e32e436d8903d5a&vjs=3,"Richmond, BC",Research & Data Analyst,"$70,250 - $90,150 a year"
